"sp" "dbh" "Ntrees" "sitetype" "landclass" "TS" "yk" "xk" "alt" "harv" "y" "yr" "id" "h" "v"
"1" 3 9.888289452 53.79481506 3 1 1400 7000 500 120 0 1 0 1 8.18645910054115 29.1322517939139
"2" 3 9.205756187 53.79198837 3 1 1400 7000 500 120 0 1 0 2 7.89747192168861 24.6110634826125
"3" 3 8.820066452 53.78913879 3 1 1400 7000 500 120 0 1 0 3 7.72195381296102 22.233085492992
"4" 3 8.531122208 53.78621674 3 1 1400 7000 500 120 0 1 0 4 7.58480198924725 20.5372247732584
"5" 3 8.291585922 53.78318024 3 1 1400 7000 500 120 0 1 0 5 7.46727783156492 19.1871005425345
"6" 3 8.08205986 53.78004837 3 1 1400 7000 500 120 0 1 0 6 7.36154460366309 18.0476213168707
"7" 3 7.892513275 53.7767601 3 1 1400 7000 500 120 0 1 0 7 7.26347242576094 17.0501767966558
"8" 3 7.716993809 53.77335739 3 1 1400 7000 500 120 0 1 0 8 7.1705587457703 16.1548225063911
"9" 3 7.55162096 53.76979828 3 1 1400 7000 500 120 0 1 0 9 7.08113040531789 15.3360944799328
"10" 3 7.393676758 53.76607132 3 1 1400 7000 500 120 0 1 0 10 6.99397786576513 14.5766511415884
"11" 3 7.241141796 53.76218796 3 1 1400 7000 500 120 0 1 0 11 6.90816621451028 13.8640656433141
"12" 3 7.177882671 15.14137745 3 1 1400 7000 500 120 0 1 0 12 6.87209818584038 13.5745453094427
"13" 3 7.092432499 53.757267 3 1 1400 7000 500 120 0 1 0 13 6.82292572501676 13.1890432866268
"14" 3 6.946244717 53.75294495 3 1 1400 7000 500 120 0 1 0 14 6.73758508816451 12.5443804156288
"15" 3 6.80145216 53.7483902 3 1 1400 7000 500 120 0 1 0 15 6.6515260035859 11.9243132954198
"16" 3 6.657031059 53.74361038 3 1 1400 7000 500 120 0 1 0 16 6.56414644124 11.3240728671224
"17" 3 6.512005806 53.73855591 3 1 1400 7000 500 120 0 1 0 17 6.47483153205163 10.7395924760784
"18" 3 6.365401745 53.73323441 3 1 1400 7000 500 120 0 1 0 18 6.38292495077478 10.1672928155461
"19" 3 6.216195107 53.72759247 3 1 1400 7000 500 120 0 1 0 19 6.28769476211394 9.6038992689141
"20" 3 6.063262939 53.72161865 3 1 1400 7000 500 120 0 1 0 20 6.18829506491138 9.04630519162518
"21" 3 5.905318737 53.71524429 3 1 1400 7000 500 120 0 1 0 21 6.08371337090947 8.49143478577238
"22" 3 5.740824223 53.70845032 3 1 1400 7000 500 120 0 1 0 22 5.97269515305779 7.93609302250491
"23" 3 5.567864895 53.70111847 3 1 1400 7000 500 120 0 1 0 23 5.85363340820698 7.37679711904472
"24" 3 5.383952618 53.69317627 3 1 1400 7000 500 120 0 1 0 24 5.72439125648801 6.80953480142656
"25" 3 5.185702801 53.68448639 3 1 1400 7000 500 120 0 1 0 25 5.58200755953554 6.22941408681135
"26" 3 4.968255997 53.67480087 3 1 1400 7000 500 120 0 1 0 26 5.42216609440998 5.63007309566202
"27" 3 4.724156857 53.6637764 3 1 1400 7000 500 120 0 1 0 27 5.23815946630747 5.00261458515269
"28" 3 4.705870628 15.11488438 3 1 1400 7000 500 120 0 1 0 28 5.22418073703684 4.95751661050689
"29" 3 4.440901279 53.64913177 3 1 1400 7000 500 120 0 1 0 29 5.01861006408001 4.33341605497083
"30" 3 4.094575405 53.63246155 3 1 1400 7000 500 120 0 1 0 30 4.74152960099352 3.59884484315359
"31" 3 3.627985954 53.60823441 3 1 1400 7000 500 120 0 1 0 31 4.35379922257142 2.7486584856802
"32" 3 3.11270833 15.0853653 3 1 1400 7000 500 120 0 1 0 32 3.90802533543404 1.98413800908741
"33" 3 2.810173988 53.55212402 3 1 1400 7000 500 120 0 1 0 33 3.63889490181757 1.61395083253547
"34" 3 1.534921288 14.97164726 3 1 1400 7000 500 120 0 1 0 34 2.47148276282492 0.577544615608376
