"sp" "dbh" "Ntrees" "sitetype" "landclass" "TS" "yk" "xk" "alt" "harv" "y" "yr" "id" "h" "v"
"1" 2 9.888289452 53.79481506 2 1 1400 7000 500 120 0 1 0 1 4.9452811064897 21.0321111603588
"2" 2 9.205756187 53.79198837 2 1 1400 7000 500 120 0 1 0 2 4.77158216183394 17.9591931874091
"3" 2 8.820066452 53.78913879 2 1 1400 7000 500 120 0 1 0 3 4.66811330609864 16.3362816673296
"4" 2 8.531122208 53.78621674 2 1 1400 7000 500 120 0 1 0 4 4.58796473813426 15.1747001164515
"5" 2 8.291585922 53.78318024 2 1 1400 7000 500 120 0 1 0 5 4.5197584572768 14.2471538168979
"6" 2 8.08205986 53.78004837 2 1 1400 7000 500 120 0 1 0 6 4.45875590385992 13.4622260396524
"7" 2 7.892513275 53.7767601 2 1 1400 7000 500 120 0 1 0 7 4.40247023091256 12.7734299422994
"8" 2 7.716993809 53.77335739 2 1 1400 7000 500 120 0 1 0 8 4.34940181132755 12.1536675044797
"9" 2 7.55162096 53.76979828 2 1 1400 7000 500 120 0 1 0 9 4.29855412190557 11.5856403923801
"10" 2 7.393676758 53.76607132 2 1 1400 7000 500 120 0 1 0 10 4.2485994978541 11.0564184566682
"11" 2 7.241141796 53.76218796 2 1 1400 7000 500 120 0 1 0 11 4.19932227367436 10.5582707657031
"12" 1 7.177882671 15.14137745 2 1 1400 7000 500 120 0 1 0 12 5.46897847633392 13.1939296699219
"13" 2 7.092432499 53.757267 2 1 1400 7000 500 120 0 1 0 13 4.15056349783334 10.0853850969275
"14" 2 6.946244717 53.75294495 2 1 1400 7000 500 120 0 1 0 14 4.10193285211237 9.63279876074162
"15" 2 6.80145216 53.7483902 2 1 1400 7000 500 120 0 1 0 15 4.05307592911158 9.19652406437489
"16" 2 6.657031059 53.74361038 2 1 1400 7000 500 120 0 1 0 16 4.00365263380447 8.77324302305082
"17" 2 6.512005806 53.73855591 2 1 1400 7000 500 120 0 1 0 17 3.9533204420607 8.36010613653231
"18" 2 6.365401745 53.73323441 2 1 1400 7000 500 120 0 1 0 18 3.90171836398461 7.95458301965954
"19" 2 6.216195107 53.72759247 2 1 1400 7000 500 120 0 1 0 19 3.84844821959399 7.55433365523638
"20" 2 6.063262939 53.72161865 2 1 1400 7000 500 120 0 1 0 20 3.79305404585315 7.15710995477352
"21" 2 5.905318737 53.71524429 2 1 1400 7000 500 120 0 1 0 21 3.73499412987116 6.76065456517812
"22" 2 5.740824223 53.70845032 2 1 1400 7000 500 120 0 1 0 22 3.67360117842244 6.36258714225843
"23" 2 5.567864895 53.70111847 2 1 1400 7000 500 120 0 1 0 23 3.60802433799128 5.96027266920708
"24" 2 5.383952618 53.69317627 2 1 1400 7000 500 120 0 1 0 24 3.53713619378768 5.55062971499414
"25" 2 5.185702801 53.68448639 2 1 1400 7000 500 120 0 1 0 25 3.45937871997211 5.12984752956304
"26" 2 4.968255997 53.67480087 2 1 1400 7000 500 120 0 1 0 26 3.37248560469203 4.69290526272149
"27" 2 4.724156857 53.6637764 2 1 1400 7000 500 120 0 1 0 27 3.2729404468593 4.23269554389439
"28" 1 4.705870628 15.11488438 2 1 1400 7000 500 120 0 1 0 28 4.21991511324611 4.92037322684256
"29" 2 4.440901279 53.64913177 2 1 1400 7000 500 120 0 1 0 29 3.15478471448926 3.73820880367071
"30" 2 4.094575405 53.63246155 2 1 1400 7000 500 120 0 1 0 30 3.00650844512168 3.19010974709709
"31" 2 3.627985954 53.60823441 2 1 1400 7000 500 120 0 1 0 31 2.80029232234947 2.54665423145437
"32" 1 3.11270833 15.0853653 2 1 1400 7000 500 120 0 1 0 32 3.28384075468486 1.98958793806537
"33" 2 2.810173988 53.55212402 2 1 1400 7000 500 120 0 1 0 33 2.42234564962005 1.66312954162899
"34" 1 1.534921288 14.97164726 2 1 1400 7000 500 120 0 1 0 34 2.29162637152607 0.56623147445959
