"sp" "dbh" "Ntrees" "sitetype" "landclass" "TS" "yk" "xk" "alt" "harv" "y" "yr" "id" "h" "v"
"1" 1 9.888289452 53.79481506 3 1 1400 7000 500 120 0 1 0 1 6.57841496789463 28.1250461738773
"2" 1 9.205756187 53.79198837 3 1 1400 7000 500 120 0 1 0 2 6.32252935930064 23.7685435956416
"3" 1 8.820066452 53.78913879 3 1 1400 7000 500 120 0 1 0 3 6.17123453918277 21.4851029049916
"4" 1 8.531122208 53.78621674 3 1 1400 7000 500 120 0 1 0 4 6.05460248975474 19.8586543383253
"5" 1 8.291585922 53.78318024 3 1 1400 7000 500 120 0 1 0 5 5.9557281198131 18.5648725290553
"6" 1 8.08205986 53.78004837 3 1 1400 7000 500 120 0 1 0 6 5.86758694239177 17.4736136552723
"7" 1 7.892513275 53.7767601 3 1 1400 7000 500 120 0 1 0 7 5.78650062630435 16.5188181132932
"8" 1 7.716993809 53.77335739 3 1 1400 7000 500 120 0 1 0 8 5.71025680877663 15.6620424387926
"9" 1 7.55162096 53.76979828 3 1 1400 7000 500 120 0 1 0 9 5.63739013275236 14.87878639982
"10" 1 7.393676758 53.76607132 3 1 1400 7000 500 120 0 1 0 10 5.56685390347603 14.1523670820295
"11" 1 7.241141796 53.76218796 3 1 1400 7000 500 120 0 1 0 11 5.49785118810876 13.4708293218043
"12" 1 7.177882671 15.14137745 3 1 1400 7000 500 120 0 1 0 12 5.46897847633392 13.1939296699219
"13" 1 7.092432499 53.757267 3 1 1400 7000 500 120 0 1 0 13 5.42973783178341 12.8252291952017
"14" 1 6.946244717 53.75294495 3 1 1400 7000 500 120 0 1 0 14 5.36196387635144 12.2086314621479
"15" 1 6.80145216 53.7483902 3 1 1400 7000 500 120 0 1 0 15 5.2940344550675 11.6154824139868
"16" 1 6.657031059 53.74361038 3 1 1400 7000 500 120 0 1 0 16 5.22547918224582 11.0411808460926
"17" 1 6.512005806 53.73855591 3 1 1400 7000 500 120 0 1 0 17 5.15582877049934 10.4817958873484
"18" 1 6.365401745 53.73323441 3 1 1400 7000 500 120 0 1 0 18 5.08459302720297 9.93385879421285
"19" 1 6.216195107 53.72759247 3 1 1400 7000 500 120 0 1 0 19 5.01123555830352 9.3941854582905
"20" 1 6.063262939 53.72161865 3 1 1400 7000 500 120 0 1 0 20 4.9351464005399 8.85974220720233
"21" 1 5.905318737 53.71524429 3 1 1400 7000 500 120 0 1 0 21 4.85560515893787 8.32751002618777
"22" 1 5.740824223 53.70845032 3 1 1400 7000 500 120 0 1 0 22 4.7717288211036 7.79433436164131
"23" 1 5.567864895 53.70111847 3 1 1400 7000 500 120 0 1 0 23 4.68239620999287 7.25675389895026
"24" 1 5.383952618 53.69317627 3 1 1400 7000 500 120 0 1 0 24 4.58612706816528 6.71075331071724
"25" 1 5.185702801 53.68448639 3 1 1400 7000 500 120 0 1 0 25 4.48088235187322 6.15140131909332
"26" 1 4.968255997 53.67480087 3 1 1400 7000 500 120 0 1 0 26 4.36370493964338 5.57223761800412
"27" 1 4.724156857 53.6637764 3 1 1400 7000 500 120 0 1 0 27 4.23002018655085 4.96415887961738
"28" 1 4.705870628 15.11488438 3 1 1400 7000 500 120 0 1 0 28 4.21991511324611 4.92037322684256
"29" 1 4.440901279 53.64913177 3 1 1400 7000 500 120 0 1 0 29 4.07166304462386 4.31285048836339
"30" 1 4.094575405 53.63246155 3 1 1400 7000 500 120 0 1 0 30 3.87200814230881 3.59303466518439
"31" 1 3.627985954 53.60823441 3 1 1400 7000 500 120 0 1 0 31 3.59635029805426 2.75334213669418
"32" 1 3.11270833 15.0853653 3 1 1400 7000 500 120 0 1 0 32 3.28384075468486 1.98958793806537
"33" 1 2.810173988 53.55212402 3 1 1400 7000 500 120 0 1 0 33 3.09692247222018 1.61591142750224
"34" 1 1.534921288 14.97164726 3 1 1400 7000 500 120 0 1 0 34 2.29162637152607 0.56623147445959
